Date/Time;Temperature (C);Dew Point (C);Humidity;Wind Speed (km/h);Visibility (km);Pressure (kPa);Weather
2023-05-29 00:00:00;8.9;6.2;83;4.3;24.14;100.06;0
2023-05-29 01:00:00;8.8;6.0;83;4.3;24.14;100.12;0
2023-05-29 02:00:00;9.0;6.1;82;4.0;24.14;100.15;0
2023-05-29 03:00:00;10.0;5.6;74;4.0;24.14;100.15;0
2023-05-29 04:00:00;12.0;5.8;66;5.1;24.14;100.2;0
2023-05-29 05:00:00;14.0;5.9;58;5.5;24.14;100.2;0
2023-05-29 06:00:00;16.5;3.2;41;4.3;24.14;100.28;0
2023-05-29 07:00:00;18.2;1.6;33;6.6;24.14;100.23;0
2023-05-29 08:00:00;19.1;1.1;30;7.9;24.14;100.23;1
2023-05-29 09:00:00;19.4;1.4;30;8.4;24.14;100.25;1
2023-05-29 10:00:00;20.1;1.5;29;8.0;24.14;100.2;1
2023-05-29 11:00:00;20.5;1.4;28;7.9;24.14;100.16;1
2023-05-29 12:00:00;21.2;0.4;25;8.2;24.14;100.11;1
2023-05-29 13:00:00;21.4;1.1;26;8.1;24.14;100.06;0
2023-05-29 14:00:00;21.3;1.0;26;8.2;24.14;100.01;0
2023-05-29 15:00:00;21.1;1.4;27;7.8;24.14;100.03;1
2023-05-29 16:00:00;20.6;1.9;29;6.6;24.14;100.03;0
2023-05-29 17:00:00;19.6;2.4;32;4.5;24.14;100.0;0
2023-05-29 18:00:00;17.4;6.0;47;2.8;24.14;100.13;0
2023-05-29 19:00:00;16.3;5.9;50;2.8;24.14;100.05;0
2023-05-29 20:00:00;15.4;5.6;52;2.6;24.14;100.06;0
2023-05-29 21:00:00;12.8;7.7;71;2.6;24.14;100.05;0
2023-05-29 22:00:00;12.1;7.0;71;2.3;24.14;100.06;0
2023-05-29 23:00:00;11.3;7.2;76;2.6;24.14;100.03;0
2023-05-30 00:00:00;11.2;7.3;77;1.8;24.14;100.04;0
2023-05-30 01:00:00;10.5;7.0;79;1.5;24.14;100.05;0
2023-05-30 02:00:00;10.2;7.1;81;1.5;24.14;100.05;0
2023-05-30 03:00:00;11.2;6.7;74;1.6;24.14;100.01;0
2023-05-30 04:00:00;13.5;7.3;66;0.8;24.14;100.01;0
2023-05-30 05:00:00;16.1;7.5;57;0.8;24.14;100.02;0
2023-05-30 06:00:00;18.6;4.0;38;2.7;24.14;100.03;0
2023-05-30 07:00:00;20.0;0.9;28;3.6;24.14;100.01;0
2023-05-30 08:00:00;20.7;2.0;29;3.3;24.14;99.94;1
2023-05-30 09:00:00;21.2;2.4;29;3.4;24.14;99.91;3
2023-05-30 10:00:00;21.6;2.8;29;3.3;24.14;99.83;3
2023-05-30 11:00:00;22.0;2.7;28;3.1;24.14;99.78;2
2023-05-30 12:00:00;22.4;1.9;26;2.4;24.14;99.76;3
2023-05-30 13:00:00;22.4;2.0;26;2.8;24.14;99.75;2
2023-05-30 14:00:00;22.3;1.8;26;3.6;24.14;99.71;3
2023-05-30 15:00:00;21.8;2.5;28;3.8;24.14;99.71;2
2023-05-30 16:00:00;21.4;2.6;29;4.4;24.14;99.64;1
2023-05-30 17:00:00;20.4;4.0;34;4.1;24.14;99.62;2
2023-05-30 18:00:00;18.5;6.4;45;3.3;24.14;99.6;2
2023-05-30 19:00:00;17.3;7.3;52;3.4;24.14;99.58;2
2023-05-30 20:00:00;16.0;7.2;56;3.5;24.14;99.51;0
2023-05-30 21:00:00;14.4;7.5;63;5.0;24.14;99.46;1
2023-05-30 22:00:00;13.0;7.2;68;6.5;24.14;99.44;0
2023-05-30 23:00:00;12.0;8.7;80;5.2;24.14;99.43;0
2023-05-31 00:00:00;11.9;9.3;84;7.2;24.14;99.48;0
2023-05-31 01:00:00;11.2;9.3;88;7.1;24.14;99.49;1
2023-05-31 02:00:00;11.0;9.2;89;9.7;24.14;99.52;3
2023-05-31 03:00:00;11.6;9.3;86;11.1;24.14;99.49;3
2023-05-31 04:00:00;11.9;9.2;84;10.4;17.74;99.48;3
2023-05-31 05:00:00;12.3;8.8;79;11.0;24.14;99.46;3
2023-05-31 06:00:00;12.2;8.5;78;10.5;10.8;99.46;3
2023-05-31 07:00:00;12.0;8.7;80;10.5;10.8;99.46;61
2023-05-31 08:00:00;11.7;8.0;78;11.8;5.98;99.49;61
2023-05-31 09:00:00;10.6;7.1;79;12.5;5.66;99.56;3
2023-05-31 10:00:00;11.0;7.3;78;12.1;8.02;99.54;3
2023-05-31 11:00:00;11.8;6.7;71;12.8;16.88;99.5;3
2023-05-31 12:00:00;12.1;6.2;67;12.6;5.7;99.56;3
2023-05-31 13:00:00;12.1;5.3;63;11.6;15.72;99.52;3
2023-05-31 14:00:00;12.1;5.3;63;10.0;24.14;99.51;3
2023-05-31 15:00:00;12.2;7.3;72;9.1;24.14;99.51;3
2023-05-31 16:00:00;12.2;7.5;73;8.0;24.14;99.5;3
2023-05-31 17:00:00;12.1;7.6;74;7.1;24.14;99.48;3
2023-05-31 18:00:00;11.5;8.9;84;6.1;24.14;99.46;1
2023-05-31 19:00:00;10.8;8.7;87;5.8;24.14;99.45;0
2023-05-31 20:00:00;10.2;8.3;88;5.5;24.14;99.44;0
2023-05-31 21:00:00;9.5;7.9;90;4.1;24.14;99.44;0
2023-05-31 22:00:00;9.1;7.0;87;4.3;24.14;99.44;0
2023-05-31 23:00:00;8.8;6.2;84;4.3;24.14;99.42;0
2023-06-01 00:00:00;8.4;6.3;87;4.1;24.14;99.45;0
2023-06-01 01:00:00;8.2;5.8;85;4.6;24.14;99.42;0
2023-06-01 02:00:00;8.2;5.8;85;4.3;24.14;99.44;0
2023-06-01 03:00:00;9.0;5.7;80;4.8;24.14;99.41;0
2023-06-01 04:00:00;10.9;6.1;72;6.4;24.14;99.4;0
2023-06-01 05:00:00;13.3;6.9;65;5.9;24.14;99.35;0
2023-06-01 06:00:00;16.0;6.4;53;7.5;24.14;99.34;0
2023-06-01 07:00:00;18.0;6.8;48;9.9;24.14;99.3;0
2023-06-01 08:00:00;19.4;5.8;41;11.5;24.14;99.27;0
2023-06-01 09:00:00;20.2;5.0;37;12.2;24.14;99.25;3
2023-06-01 10:00:00;20.7;4.3;34;12.1;24.14;99.23;2
2023-06-01 11:00:00;21.1;4.6;34;11.5;24.14;99.19;2
